form	sense	pos
dulgahaitja	Gläubiger	Noun, common, masculine
dulgis	Schuld	Noun, common
dulþjan	ein Fest feiern	Verb
dulþs	Fest	Noun, common, feminine
af-dumbnan	verstummen	Verb
dumbs	stumm	Adjective
duþe	deshalb, deswegen, dazu	Unassigned
dwalawaurdei	Torenrede	Noun, common, feminine
dwaliþa	Torheit	Noun, common, feminine
dwalmon	rasen	Verb
dwals	töricht	Adjective
Eeiram	Eeiram	Noun, proper
ei	da	Particle
Eiaireiko	Eiaireiko	Noun, proper
Eikaunion	Eikaunion	Noun, proper
eisarn	Eisen	Noun, common, neuter
eisarnabandi	Eisenband, Kette	Noun, common, feminine
eisarneins	eisern	Adjective
eiþan	daher somit	Conjunction
†eiþau	†eiþau	Unassigned
Esaïas	Esaïas	Noun, proper
Esaw	Esaw	Noun, proper
fadar	Vater	Noun, common, masculine
[Faddasur]	[Faddasur]	Noun, proper
fadrein	Abkunft, Geschlecht, Stamm	Noun, common, neuter
fadreins	Geschlecht	Noun, common, feminine
faginon	sich freuen über	Verb
miþ-faginon	sich mitfreuen	Verb
fagrs*	geschickt, geeignet	Adjective
fāhan	fangen, greifen	Verb
ga-fahan	ergreifen, erfassen , ertappen	Verb
faheþs	Freude über	Noun, common, feminine
fulla-fahjan	Genüge leisten	Verb
ga-fahrjan	zubereiten	Verb
faian	tadeln	Verb
bi-faihon	übervorteilen	Verb
ga-faihon	übervorteilen	Verb
faihu	Vermögen	Noun, common, neuter
faihufrikei	Habsucht	Noun, common, feminine
faihufriks	habsüchtig, geldgierig	Adjective
faihugairnei	Habsucht	Noun, common, feminine
faihugairns	geldgierig	Adjective
faihugawaurki	Erwerb	Noun, common, neuter
faihugeiro	Habsucht	Noun, common, feminine
faihuskula	Schuldner	Noun, common, masculine
faihuþraihna	faihuþraihna	Noun, common
fairguni	Berg	Noun, common, neuter
wai-fairƕjan	wehklagen	Verb
fairƕus	Welt	Noun, common, masculine
fairina	Schuld; Grund; Vorwurf	Noun, common, feminine
fairinon	tadeln	Verb
fairneis*	alt	Adjective
fairniþa	Alter	Noun, common, feminine
fairns*	vorjährig	Adjective
fairra	fern	Adverb, locative
fairraþro	von fern	Adverb, directional
fairweitl	Schauspiel	Noun, common, neuter
fairzna	Ferse	Noun, common, feminine
Falaig	Falaig	Noun, proper
†Fallasur	†Fallasur	<none>
falþan	falten, zusammenrollen	Verb
fana	Stück Zeug	Noun, common, masculine
fani	Schlamm	Noun, common, neuter
Fanuel	Fanuel	Noun, proper
Farais*	Farais*	Noun, proper
faran	wandern, ziehen	Verb
Farao*	Farao*	Noun, proper
Fareisaius	Fareisaius	Noun, proper
farjan	fahren	Verb
at-farjan	einlaufen, landen	Verb
fāskja*	Binde	Noun, common
fastan	halten, festhalten; beobachten, bewachen	Verb
ga-fastan	behalten, bewahren	Verb
fastubni	das Halten, der Dienst	Noun, common, neuter
faþa	Zaun	Noun, common, feminine
fauho	Fuchs	Noun, common, feminine
faur	sie vorzulegen	Adverb
faura	vor	Adverb
fauradauri	Straße	Noun, common, neuter
faurafilli	Vorhaut	Noun, common, neuter
fauragagga*	Hausverwalter	Noun, common, masculine
fauragaggi	Verwaltung	Noun, common, neuter
fauragaggja	Verwalter	Noun, common, masculine
faurahāh	Vorhang	Noun, common, neuter
fauramaþleis	Vorsteher, Gebieter	Noun, common, masculine
fauramaþli	Oberbefehl	Noun, common, neuter
fauratani	Wunderzeichen	Noun, common, neuter
faurbauhts	Loskaufung, Erlösung	Noun, common, feminine
faurdomeins	Vorurteil	Noun, common, feminine
faurhāh	Vorhang	Noun, common, neuter
faurhtei	Furcht	Noun, common, feminine
faurhtjan	sich fürchten	Verb
faurhts	furchtsam	Adjective
faurlageins	Vorlegung	Noun, common, feminine
faurstasseis*	Vorsteher	Noun, common, masculine
Faurtunatus	Faurtunatus	Noun, proper
faurþis	zuvor, früher	Adverb
faurþizei	bevor	Conjunction
fawai*	wenige	Adjective
in-feinan	sich erbarmen	Verb
fera	Seite, Gegend	Noun, common, feminine
ferja*	Aufpasser	Noun, common, masculine
fetjan	schmücken	Verb
fian	hasse, verabscheuen	<none>
fidurdogs	viertägig	Adjective
fidurfalþs	vierfältig	Adjective
fidurragini	das Amt des Vierfürsten	Noun, common, neuter
fidwor	vier	Numeral, cardinal
fidwortaihun	vierzehn	Numeral, cardinal
figgragulþ	Fingerring	Noun, common, neuter
figgrs	Finger	Noun, common, masculine
fijan	hasse, verabscheuen	Verb
fijands	Feind	Noun, common, masculine
fijaþwa	Feindschaft	Noun, common, feminine
filaus	um vieles, viel	Adverb
filegri	Höhle	<none>
Filetus	Filetus	Noun, proper
filhan	verbergen	Verb
af-filhan	verbergen vor	Verb
ana-filhan	übergeben, überliefern; verpachten; empfehlen	Verb
ga-filhan	begraben	Verb
us-filhan	begraben	Verb
filigri*	Höhle	Noun, common, neuter
Filippai	Filippai	Noun, proper
Filippisius	Einwohner von Philippi	Noun, proper
Filippus	Filippus	Noun, proper
filleins	ledern	Adjective
filu	filu	Unassigned
filudeisei	Arglist	Noun, common, feminine
filufáihs	sehr bunt	Adjective
filugalaufs*	sehr wertvoll	Adjective
filusna	Vielheit, Menge; Übermaß	Noun, common, feminine
filuwaurdei	vieles Reden	Noun, common, feminine
filu-waurdjan	viel Worte machen	<none>
fimf	fünf	Numeral, cardinal
fimftaihun	fimftaihun	Numeral, cardinal
fimftataihunda	fünfzehnter	Numeral, ordinal
finþan	erkennen, erfahren	Verb
fiskja	Fischer	Noun, common, masculine
fiskon	fischen	Verb
fisks	Fisch	Noun, common, masculine
fitan	kreißen, gebären	Verb
flahtom	den Flechten	Noun, common
[us-flaugjan]	umgetrieben	Verb
flautjan	prahlen	Verb
flauts	von eitler Ruhmsucht, prahlerisch	Adjective
flodus	Strom, Flut	Noun, common
flokan*	betrauern	Verb
fodeins	Nahrung	Noun, common, feminine
fodjan	nähren, aufziehn	Verb
fodr	Scheide	Noun, common, neuter
fon	Feuer	Noun, common, neuter
fotubandi	Fußfessel	Noun, common, feminine
fotubaurd	Fußbank, Schemel	Noun, common, neuter
fotus	Fuß	Noun, common, masculine
frabauhtaboka	Verkaufsurkunde	Noun, common, feminine
fragan	fragen	Verb
fragifts	verlobt	Noun, common, feminine
fraihnan	fragen	Verb
ga-fraihnan	erfragen	Verb
fraisan	versuchen	Verb
us-fraisan	versuchen	Verb
fraistubni	Versuchung	Noun, common, feminine
fraiw	Same	Noun, common, neuter
fralet*	Erlaß	Noun, common, neuter
fralets	Freigelassener	Noun, common, masculine
fralusts	Verderben	Noun, common, feminine
fram	weiter	Adverb
framaldrs	im Alter vorgeschritten	Adjective
framaþeis*	fremd; einer Sache	Adjective
framaþjan	entfremden	Verb
framgāhts*	Fortschritt	Noun, common, feminine
framis	weiter	Adverb
framwairþis	fernerhin	Adverb
framwigis	fortwährend	Adverb
[fraqisteins]	Verderb, Vergeudung	Noun, common, feminine
frastisibja	Kindschaft	Noun, common, feminine
frasts	Kind	Noun, common
us-fratwjan	klug machen	Verb
fraþi	Verstand, Sinn	Noun, common, neuter
fraþjamarzeins	Verstandestäuschung	Noun, common, feminine
fraþjan	denken	Verb
fulla-fraþjan	bei  Verstand sein	Verb
frauja	Herr	Noun, common, masculine
fraujinassus	Herrschaft	Noun, common, masculine
fraujinon	herrschen über	Verb
ga-fraujinon	unterjochen	Verb
fraujinonds	Herrscher	Noun, common, masculine
frawardeins*	Verderben	Noun, common, feminine
frawaurhts	sündig	Adjective
frawaurhts	Sünde	Noun, common, feminine
fraweit	Strafe	Noun, common, neuter
freidjan	einen schonen	Verb
freihals	Freiheit	Noun, common, masculine
freis	frei von	Adjective
friaþwamildjai	zärtlich liebend	Adjective
frijaþwa	Liebe	Noun, common, feminine
frijei	Freiheit	Noun, common, feminine
frijon	lieben	Verb
frijondi	Freundin	Noun, common, feminine
frijonds	Freund	Noun, common, masculine
frijons	Kuß	Noun, common, feminine
ga-frisahtjan	abbilden	Verb
ga-frisahtnan	ein Abbild werden	Verb
frisahts	Bild	Noun, common, feminine
[Friþareikeis]	Friedrich	Noun, proper
ga-friþon	versöhnen mit	Verb
friusa	Frost	Noun, common
frodei	Klugheit, Verstand	Noun, common, feminine
froþs	klug, verständig	Adjective
fruma	fruma	Adjective, Comparative
frumabaur	Erstgeborener	Noun, common, masculine
frumadei	Vorrang	Noun, common, feminine
frumisti	Anfang	Noun, common, neuter
frumists	frumists	Adjective, Superlative
frumist	zuerst	Adverb, temporal
fugls	Vogel	Noun, common, masculine
fula	Füllen	Noun, common, masculine
fulgins	verborgen	Adjective
fulhsni	fulhsni	Noun, common, neuter
fulla-fahjan	P040.02	<none>
fulla-fraþjan	P040.03	<none>
fullatojis	vollkommen	Adjective
fullaweis	vollkommen 	Adjective
fulla-weisjan	überreden	<none>
fullawita	volkommen 	Noun, common, masculine
full[e]iþ	des Neumonds	Noun, common
fulljan	füllen	Verb
ga-fulljan	mit etw	Verb
ufar-fulljan	überfüllen	Verb
us-fulljan	erfüllen, vollenden, ersetzen	Verb
fullnan	voll werden von	Verb
ga-fullnan	erfüllt werden von	Verb
us-fullnan	erfüllt werden von	Verb
fullo	Fülle, Füllung ; Flicken	Noun, common, feminine
fulls	voll von	Adjective
fūls	faul	Adjective
funins, funin	Feuer	<none>
funisks	feurig	Adjective
Fwgailus	Fwgailus	Noun, proper
fwnikisks	phönikisch	Adjective
gaaggwei	Einschränkung	Noun, common, feminine
gaarbja	Miterbe	Noun, common, masculine
Gabaa	Gabaa	Noun, proper
Gabair	Gabair	Noun, proper
gabairhteins	Erscheinung	Noun, common, feminine
gabaur	Kollekte; Steuer	Noun, common, neuter
gabaur*	Festgelage	Noun, common, masculine
gabaurgja	Mitbürger	Noun, common, masculine
gabaurjaba	gern	Adverb
gabaurjoþus	Lust	Noun, common, masculine
gabaurþiwaurd	Geschlechtsregister	Noun, common, neuter
gabaurþs	Geburt	Noun, common, feminine
gabei	Reichtum	Noun, common, feminine
gabeigs	reich an	<none>
gabigjan	reich machen	Verb
gabignan	reich sein	Verb
gabigs	reich an	Adjective
gabigaba	reichlich	Adverb, Comparative
gabinda	Band	Noun, common, feminine
gabindi	Band	Noun, common, feminine
gableiþeins	Erbarmen	Noun, common, feminine
Gabriel	Gabriel	Noun, proper
gabruka	Brocken	Noun, common, feminine
gabundi	Band	Noun, common, feminine
gadaila	Teilnehmer, Genosse	Noun, common, masculine
gadauka*	Hausgenosse	Noun, common, masculine
Gaddarenus*	Gaddarenus*	Noun, proper
gadeþs*	Tat	Noun, common, feminine
[gadigis]	Gebilde	Noun, common, neuter
gadiliggs	Vetter	Noun, common, masculine
ga-dofs*	es schickt sich für	Adjective
gadrauhts	Soldat	Noun, common, masculine
gafāh*	Fang	Noun, common, neuter
gafaurds	Versammlung, hoher Rat	Noun, common, feminine
gafaurs	ehrbar; nüchtern, besonnen	Adjective
gafehaba	anständig	Adverb
gafeteins	Kleidung	Noun, common, feminine
gafilh*	Begräbnis	Noun, common, neuter
gafraþjei	Klugheit, Besonnenheit	Noun, common, feminine
gafreideins	Erhaltung, Bewahrung	Noun, common, feminine
gafrijons	Kuß	Noun, common, feminine
gafriþons	Versöhnung	Noun, common, feminine
gafulgins	verborgen vor	Adjective
gagg*	Weg, Straße	Noun, common, neuter
gaggan	gehen	Verb
af-gaggan	weggehn von	Verb
afar-gaggan	nachgehn, folgen	Verb
ana-gaggan	kommen	Verb
at-gaggan	hinzugehen, kommen	Verb
du-atgaggan	hinzukommen zu	Verb
inn-atgaggan	hineinkommen	Verb
faur-gaggan	vorübergehn	Verb
faur-bigaggan	einem vorausgehn	Verb
faura-gaggan	vorangehn	Verb
ga-gaggan	zusammenkommen	Verb
inn-gaggan	hineingehn	Verb
miþ-gaggan	mitgehn mit	Verb
þairh-gaggan	hindurchgehn, vorübergehn	Verb
ufar-gaggan	etw. übertreten	Verb
us-gaggan	ausgehn, hinausgehn	Verb
ūt-gaggan	hinausgehn, ausgehn	Verb
wiþra-gaggan	entgegengehn	Verb
gagrefts	Beschluß, Verordnung	Noun, common, feminine
gagudei	Frömmigkeit	Noun, common, feminine
gaguþs*	anständig, ehrbar	Adjective
gagudaba	fromm	Adverb, Comparative
gahāhjo	im Zusammenhang, der Reihe nach	Adverb
gahails	ganz unversehrt	Adjective
gahait	Verheißung	Noun, common, neuter
gahauseins	Gehör,  Predigt	Noun, common, feminine
gahlaiba	Genosse	Noun, common, masculine
gahlaifs*	Genosse	Adjective
[ga-hnipnan]	[ga-hnipnan]	Verb
gahobains	Enthaltsamkeit	Noun, common, feminine
gahraineins	Reinigung	Noun, common, feminine
gahugds	Gesinnung; Sinn; Gewissen	Noun, common, feminine
gaƕairbs	fügsam, getreu	Adjective
gaƕeilains	Verweilen, Ruhe	Noun, common, feminine
gaiainna	gaiainna	Noun, common
gaidw*	Mangel	Noun, common, neuter
gailjan	fröhlich machen	Verb
Gainnesaraiþ	Gainnesaraiþ	Noun, proper
gairda	Gürtel	Noun, common, feminine
bi-gairdan	umgürten	Verb
uf-gairdan	umgürten	Verb
Gairgaisainus*	Gairgaisainus*	Noun, proper
gairnei	Verlangen, Wunsch	Noun, common, feminine
gairnjan	begehren, verlangen nach; bedürfen	Verb
gairuni*	Leidenschaft	Noun, common, neuter
us-gaisjan	erschrecken	Verb
gaitein*	Böcklein	Noun, common, neuter
gaits	Ziege	Noun, common, feminine
Gaïus	Gaïus	Noun, proper
gajuk	 Paar	Noun, common, neuter
gajuka	Genosse	Noun, common, masculine
gajuko	 Gleichnis	Noun, common, feminine
gakunds	Überredung	Noun, common, feminine
gakunþs	gakunþs	Noun, common, feminine
gakusts	Probe	Noun, common, feminine
galaista	Nachfolger	Noun, common, masculine
Galateis	Galateis	Noun, proper
Galatia*	Galatia*	Noun, proper
galaubeins	gläubig	Adjective
galaubeins	Glaube	Noun, common, feminine
galaufs*	wertvoll	Adjective
galeika*	eines Leibes	Noun, common, masculine
galeiki*	Abbild	Noun, common, neuter
galeiks	ähnlich	Adjective
galeiko	gleich	Adverb, Comparative
Galeilaia	Galeilaia	Noun, proper
Galeilaius	Galeilaius	Noun, proper
galga	Pfahl, Kreuz	Noun, common, masculine
galigri	Beilager	Noun, common, neuter
galiug	Lüge	Noun, common, neuter
galiugaapaustaulus	falscher Apostel	Noun, common, masculine
galiugabroþar	falscher Bruder	Noun, common, masculine
galiugaguþ	Götze	Noun, common, neuter
galiugapraufetus*	falscher Prophet	Noun, common, masculine
galiugaweitwoþs	falscher Zeuge	Noun, common, masculine
galiugaxristus	falscher Christus	Noun, common, masculine
†galubaim	wertvoll	<none>
gamaindūþs	Gemeinschaft	Noun, common, feminine
gamainei	Gemeinschaft	Noun, common, feminine
gamainja	Teilnehmer	Noun, common, masculine
gamains	gemein	Adjective
gamainþs	Versammlung	Noun, common, feminine
gamaiþs*	verkrüppelt; verwundet	Adjective
gamalteins	Auflösung	Noun, common, feminine
gaman	Teilnehmer; Genosse	Noun, common, neuter
†gamarko	†gamarko	<none>
gamarzeins	Ärgernis	Noun, common, feminine
gamaudeins	Erinnerung	Noun, common, feminine
gameleins	Schrift; Buchstabenschrift	Noun, common, feminine
gaminþi	Gedächtnis, Erinnerung	Noun, common, neuter
gamitons	Gedanke	Noun, common, feminine
gamunds	Andenken, Gedächtnis	Noun, common, feminine
ganauha	Genüge, genügendes Auskommen; Genügsamkeit	Noun, common, masculine
ganists	Rettung, Heil	Noun, common, feminine
ganiþjis	Verwandter	Noun, common, masculine
ganohs	genug, viel	Adjective
gansjan	verursachen	Verb
gaqiss	übereinstimmend	Adjective
gaqiss	Verabredung	Noun, common, feminine
gaqumþs	Zusammenkunft, Versammlung; Vereinigung	Noun, common, feminine
garaideins	Anordnung, Satzung, Regel	Noun, common, feminine
garaihtei	Gerechtigkeit, Gebot	Noun, common, feminine
garaihteins	Zurechtweisung	Noun, common, feminine
garaihtiþa	Gerechtigkeit	Noun, common, feminine
garaihts	gerecht	Adjective
garaiþs*	angeordnet	Adjective
garazna	Nachbar	Noun, common, masculine
garazno	Nachbarin	Noun, common, feminine
garda	 Viehhof	Noun, common, masculine
gardawaldands	Hausherr	Noun, common, masculine
gards	Haus, Hauswesen, Familie	Noun, common, masculine
garedaba	anständig	Adverb
garehsns	bestimmte Zeit	Noun, common, feminine
gariudei	Schamhaftigkeit	Noun, common, feminine
gariudi	Ehrbarkeit	Noun, common, neuter
gariuþs*	ehrbar	Adjective
garūni	Beratung	Noun, common, neuter
garunjo	Flut	Noun, common, feminine
garuns	Markt; Straße	Noun, common, feminine
gasahts	Vorwurf	Noun, common, feminine
gasateins	Grundlegung	Noun, common, feminine
gasinþa*	Gefährte	Noun, common, masculine
gasinþja*	Gefährte	Noun, common, masculine
gaskadweins*	Bedeckung	Noun, common, feminine
gaskafts	Erschaffung	Noun, common, feminine
gaskaideins	Unterschied	Noun, common, feminine
gaskalki	Mitknecht	Noun, common, neuter
gaskohi	Sandalen, Schuhe	Noun, common, neuter
gaskohs	beschuht	Adjective
gastigodei	Gastfreundschaft	Noun, common, feminine
gastigoþs*	gastfrei	Adjective
gasts	Fremdling 	Noun, common, masculine
gataura	Riß	Noun, common, masculine
gataurþs*	Zerstörung	Noun, common, feminine
gatemiba	geziemend	Adverb
gatils	passend; geschickt zu	Adjective
gatilaba	zur rechten Zeit, passend	Adverb, Comparative
gatimreins	Erbauung	Noun, common, feminine
gatimrjo	Gebäude	Noun, common, feminine
gatwo	Gasse	Noun, common, feminine
gaþagki	Bedacht	Noun, common, neuter
gaþaurbs	enthaltsam	Adjective
gaþlaihts	Trost	Noun, common, feminine
gaþrafsteins	Trost	Noun, common, feminine
gaþrask	Tenne, Ausdrusch	Noun, common, neuter
gauja	Umgegend	Noun, common, masculine
Gaulgauþa	Gaulgauþa	Noun, proper
Gaumaurra	Gaumaurra	Noun, proper
Gaumaurjam	Gaumaurjam	Noun, proper
gaumjan	bemerken	Verb
gaunon	klagen; Totenklage anstimmen	Verb
[gaunoþus]	Klage	Noun, common, masculine
gaurei	Betrübnis	Noun, common, feminine
gauriþa	Betrübnis	Noun, common, feminine
gaurjan	einen kränken	Verb
gáurs	betrübt, traurig	Adjective
gawairþeigs	friedfertig	Adjective
gawairþi	Friede	Noun, common, neuter
gawaleins	Erwählung	Noun, common, feminine
gawamms	gemein d.i. unrein	Adjective
[gawandeins]	Bekehrung	Noun, common, feminine
gawargeins	Verurteilung	Noun, common, feminine
gawaseins	Bekleidung	Noun, common, feminine
gawaurdi	Gespräch	Noun, common, neuter
gawaurki	Geschäft; Erwerb; Gewinn	Noun, common, neuter
gawaurstwa	Mitarbeiter	Noun, common, masculine
[gawaurts]	eingewurzelt	Adjective
gawi	Gau	Noun, common, neuter
gawiljis*	einmütig	Adjective
gawiss	Verbindung, Band 	Noun, common, feminine
gawizneigs	voll Mitfreude	Adjective
gazaufwlakio	Schatzhaus	Noun, common
gazds	Stachel	Noun, common, masculine
faihu-geigan	begehren	Verb
ga-geigan	gewinnen	Verb
us-geisnan	sich entsetzen, erstaunen	Verb
giba	Gabe, Geschenk	Noun, common, feminine
giban	geben	Verb
gibands	Geber	Noun, common, masculine
af-giban sik	sich wegbegeben	Verb
at-giban	hingeben, übergeben	Verb
fra-giban	vergeben, verleihn, schenken	Verb
us-giban	erstatten, bezahlen	Verb
gibla	Giebel	Noun, common, masculine
gild	Steuer	Noun, common, neuter
fra-gildan	vergelten	Verb
us-gildan	vergelten	Verb
gilstr	Steuer	Noun, common, neuter
gilstrameleins	Eintragung in die Steuerliste	Noun, common, feminine
gilþa	Sichel	Noun, common, feminine
du-ginnan	beginnen	Verb
gistradagis	morgen	Adverb, temporal
bi-gitan	finden	Verb
giutan	gießen	Verb
ufar-giutan	übergießen d.i. übervoll gießen	Verb
glaggwaba	sorgsam	Adverb
glaggwo	genau	Adverb
glaggwuba	genau	Adverb
glitmunjan	glänzen	Verb
godakunds	von guter, edler Abkunft	Adjective
godei	Tugend	Noun, common, feminine
goleins	Gruß	Noun, common, feminine
goljan	grüßen	Verb
goþs	gut	Adjective
graba	Graben	Noun, common, feminine
graban	graben	Verb
bi-graban	mit einem Graben umgeben	Verb
uf-graban	nachgraben, unterwühlen	Verb
us-graban	ausgraben	Verb
gramjan	erzürnen	Verb
in-gramjan	erbittern	Verb
gramsta	Holzsplitter	Noun, common
gras	Gras, Kraut	Noun, common, neuter
gredags	hungrig	Adjective
gredon	hungern	Verb
gredus	Hunger	Noun, common, masculine
greipan	greifen	Verb
fair-greipan	ergreifen	Verb
und-greipan	ergreifen	Verb
gretan	weinen, klagen	Verb
grets	das Weinen	Noun, common, masculine
grindafraþjis*	kleinmütig	Adjective
griþs*	Schritt	Noun, common, feminine
groba	Grube, Höhle	Noun, common, feminine
grunduwaddjus	Grundmauer	Noun, common, masculine
gudafaurhts	gottesfürchtig	Adjective
gudalaus	gottlos	Adjective
gudaskaunei	Gottesgestalt	Noun, common, feminine
gudblostreis	Gottesverehrer	Noun, common, masculine
gudhūs	Gotteshaus	Noun, common, neuter
Gudilub	Gudilub	Noun, proper
gudisks	göttlich	Adjective
gudja	Priester	Noun, common, masculine
gudjinassus	Priestertum	Noun, common, masculine
gudjinon	Priester sein, des Priesteramts pflegen	Verb
gulþ	Gold	Noun, common, neuter
gulþeins	golden	Adjective
guma	Mann	Noun, common, masculine
gumakunds	männlichen Geschlechts	Adjective
gumein	Männchen	Noun, common, neuter
gund	Krebsgeschwür	Noun, common, neuter
us-gutnan	verschüttet werden	Verb
Gutþiuda	Gotenvolk	Noun, common, feminine
guþ	Gott	Noun, common, masculine
haban	haben, besitzen	Verb
af-haban	sich einer Sache enthalten	Verb
ana-haban	besitzen	Verb
at-haban	sich nähern	Verb
dis-haban	ergreifen	Verb
ga-haban	ergreifen	Verb
uf-haban	aufheben	Verb
hafjan	heben	Verb
and-hafjan	erwidern, antworten	Verb
at-hafjan	herabnehmen	Verb
ufar-hafjan	sich überheben	Verb
us-hafjan	erheben, wegnehmen	Verb
ufar-hafnan	sich überheben	Verb
haftjan	sich heften, hängen an	Verb
ga-haftjan	sich heften, hängen an	Verb
ga-gáhaftjan	zusammenheften, verbinden	Verb
ga-haftnan	anhangen	Verb
hafts	behaftet mit	Adjective
hāhan	hängen, in der Schwebe lassen	Verb
at-hahan	hinabhängen, hinablassen	Verb
us-hahan	sich erhängen	Verb
hāhan	hangen	Verb
Haibraius	Haibraius	Noun, proper
haidus	Art u. Weise	Noun, common, masculine
haifstjan	streiten	Verb
haifsts	Streit	Noun, common, feminine
háihs	einäugig	Adjective
Haileias*	Haileias*	<none>
Haileisaius	Haileisaius	Noun, proper
hailjan	einen  heilen	Verb
ga-hailjan	herstellen	Verb
ga-hailnan	hergestellt werden	Verb
hails	heil, gesund	Adjective
haimoþli	Grundbesitz	Noun, common, neuter
haims*	Stadt	Noun, common, feminine
hairaiseis	Parteien	Noun, common
hairda	Herde	Noun, common, feminine
hairdeis	Hirt	Noun, common, masculine
Hairmaugaineis	Hairmaugaineis	Noun, proper
Hairodia*	Hairodia*	<none>
hairto	Herz	Noun, common, neuter
hairþra	Eingeweide, Herz	Noun, common
hairus	Schwert	Noun, common, masculine
haizam	Fakkeln	Noun, common
haitan	heißen, nennen	Verb
ana-haitan	anrufen	Verb
and-haitan	einen, etw. bekennen; sich bekennen zu; etw. bekennen	Verb
at-haitan	herzurufen	Verb
fair-haitan	verheißen	Verb
ga-haitan	zusammenrufen	Verb
faura-gahaitan	zuvor verheißen	Verb
us-haitan	herausfordern	Verb
haiti	Geheiß	Noun, common, feminine
haiþi	Heide, Steppe	Noun, common, feminine
haiþiwisks	wild	Adjective
háiþno	Heidin	Noun, common, feminine
hakuls	Mantel	Noun, common, masculine
halba	Hälfte, Seite	Noun, common, feminine
halbs	halb	Adjective
haldan	hüten, weiden	Verb
haldis	mehr	Adverb
halisaiw	kaum je, kaum	Adverb
halja	Hölle	Noun, common, feminine
halks	leer, umsonst; dürftig, armselig	Adjective
hallus	Fels	Noun, common, masculine
hals	Hals	Noun, common, masculine
[halsagga]	Hals, Nacken	Noun, common, masculine
halts	lahm	Adjective
hamfs	verstümmelt	Adjective
af-hamon	die Bekleidung ablegen, ausziehn	Verb
ana-hamon	die Bekleidung anlegen, anziehn	Verb
and-hamon	sich einer Sache entkleiden	Verb
ga-hamon	sich bekleiden mit	Verb
ufar-hamon	überziehn, sich mit etwas überkleiden	Verb
hana	Hahn	Noun, common, masculine
handugei	Weisheit	Noun, common, feminine
handugs	weise, klug	Adjective
handus	Hand	Noun, common, feminine
handuwaurhts	mit der Hand gemacht	Adjective
hansa	Schar; Manipel; Kohorte	Noun, common, feminine
ga-hardjan	verhärten	Verb
harduhairtei	Hartherzigkeit	Noun, common, feminine
hardus	hart, streng	Adjective
harjis	Heer	Noun, common, masculine
hatan	hassen	Verb
hatis	Haß, Zorn	Noun, common, neuter
hatizon	zürnen	Verb
hatjan	hassen	Verb
haubiþ	Haupt	Noun, common, neuter
hauhei	Höhe	Noun, common, feminine
hauheins	Preis, Ehre	Noun, common, feminine
hauhhairtei	Hochmut	Noun, common, feminine
hauhhairts	hochmütig	Adjective
hauhisti*	höchste Höhe	Noun, common, neuter
hauhiþa	Höhe	Noun, common, feminine
hauhjan	hoch machen; preisen	Verb
ufar-hauhjan	verblenden	Verb
us-hauhjan	erhöhn	Verb
us-hauhnan	verherrlicht werden	Verb
háuhs	hoch	Adjective
hauhista	der Höchste 	Adjective, Superlative
hauhaba	hauhaba	Adverb
hauhis	höher	Adverb, Comparative
hauhþuhts	hochmütig, verblendet	Adjective
hauneins	Erniedrigung; Demut	Noun, common, feminine
hauniþa	Demut	Noun, common, feminine
haunjan	niedrig machen	Verb
ga-haunjan	erniedrigen	Verb
hauns	niedrig, demütig	Adjective
haurds	 Tür	Noun, common, feminine
hauri	Kohle	Noun, common, neuter
haurn	das hornförmig gebogene Johannisbrot	Noun, common, neuter
haurnja	Hornist	Noun, common, masculine
haurnjan	das Horn blasen	Verb
hauseins	Gehör d.i. Ohr	Noun, common, feminine
hausjan	hören	Verb
and-hausjan	gehorchen	Verb
ga-hausjan	das Gehör bekommen	Verb
uf-hausjan	gehorchen	Verb
hausjon	hören	Verb
hawi	Heu	Noun, common, neuter
hazeins	Lob, Loblied	Noun, common, feminine
hazjan	loben, preisen wegen	Verb
heito	Fieber	Noun, common, feminine
heiwafrauja	Hausherr	Noun, common, masculine
helei	helei	Foreign word
Helei*	Helei*	Noun, proper
Helias	Helias	Noun, proper
Her	Her	Noun, proper
her	hier, her	Adverb, locative
Herodes	Herodes	Noun, proper
Herodia	Herodia	Noun, proper
Herodianus*	Herodianus*	Noun, proper
heþjo	Kammer	Noun, common, feminine
hi-	dieser	Pronoun, demonstrative
hidre	hierher	Adverb, directional
hilms	Helm	Noun, common, masculine
hilpan	einem helfen	Verb
ga-hilpan	helfen	Verb
himinakunds	von himmlischer Abkunft	Adjective
himins	Himmel	Noun, common, masculine
himma, hina	dieser	<none>
hindana	hinter, jenseits	Unassigned
hindar	hinter, jenseits	Preposition, +AD
hindarweis	hinterlistig	Adjective
hindarweisei	Hinterlist	Noun, common, feminine
hindumists	der hinterste	Adjective, Superlative
fra-hinþan	gefangen nehmen	Verb
miþ-frahinþan	mitgefangen nehmen	Verb
us-hinþan	erbeuten	Verb
hiri	komm her, hierher	Unassigned
hita	dieser	<none>
hiufan	wehklagen, Klagelieder singen	Verb
hiuhma	Haufe, Menge	Noun, common, masculine
hiwi	Gestalt, Aussehn	Noun, common, neuter
hlahjan	lachen	Verb
bi-hlahjan	verlachen	Verb
hlaifs	Brot; Brotbissen	Noun, common, masculine
hlaine	Hügel	Noun, common
hlaiw	Grab	Noun, common, neuter
hlaiwasnos	Gräber	Noun, common, feminine
hlamma	Schlinge	Noun, common, feminine
