sense	pos	Concepticon_ID	Concepticon_Gloss
Vorlegung	Noun, common, feminine		
Vorsteher	Noun, common, masculine		
Faurtunatus	Noun, proper		
zuvor, früher	Adverb	1882	BEFORE
bevor	Conjunction		
wenige	Adjective	1242	FEW
sich erbarmen	Verb		
Seite, Gegend	Noun, common, feminine	682	SIDE
Aufpasser	Noun, common, masculine		
schmücken	Verb	1739	DECORATE
hasse, verabscheuen	<none>		
viertägig	Adjective		
vierfältig	Adjective		
das Amt des Vierfürsten	Noun, common, neuter		
vier	Numeral, cardinal	1500	FOUR
vierzehn	Numeral, cardinal	2451	FOURTEEN
Fingerring	Noun, common, neuter		
Finger	Noun, common, masculine	1303	FINGER
hasse, verabscheuen	Verb		
Feind	Noun, common, masculine	1358	ENEMY
Feindschaft	Noun, common, feminine		
um vieles, viel	Adverb	1198	MANY
Höhle	<none>	1155	CAVE
Filetus	Noun, proper		
verbergen	Verb	602	HIDE (CONCEAL)
verbergen vor	Verb		
übergeben, überliefern; verpachten; empfehlen	Verb		
begraben	Verb	1719	BURY
begraben	Verb	1719	BURY
Höhle	Noun, common, neuter	1155	CAVE
Filippai	Noun, proper		
Einwohner von Philippi	Noun, proper		
Filippus	Noun, proper		
ledern	Adjective		
filu	Unassigned		
Arglist	Noun, common, feminine		
sehr bunt	Adjective		
sehr wertvoll	Adjective		
Vielheit, Menge; Übermaß	Noun, common, feminine	2987	AMOUNT
vieles Reden	Noun, common, feminine		
viel Worte machen	<none>		
fünf	Numeral, cardinal	493	FIVE
fimftaihun	Numeral, cardinal		
fünfzehnter	Numeral, ordinal		
erkennen, erfahren	Verb	2870	RECOGNIZE (SOMEBODY)
Fischer	Noun, common, masculine	1858	FISHERMAN
fischen	Verb	2638	FISHING
Fisch	Noun, common, masculine	227	FISH
kreißen, gebären	Verb	1195	GIVE BIRTH
den Flechten	Noun, common		
umgetrieben	Verb		
prahlen	Verb	101	BOAST
von eitler Ruhmsucht, prahlerisch	Adjective		
Strom, Flut	Noun, common	666	RIVER
betrauern	Verb		
Nahrung	Noun, common, feminine	256	FOOD
nähren, aufziehn	Verb		
Scheide	Noun, common, neuter		
Feuer	Noun, common, neuter	221	FIRE
Fußfessel	Noun, common, feminine		
Fußbank, Schemel	Noun, common, neuter		
Fuß	Noun, common, masculine	1301	FOOT
Verkaufsurkunde	Noun, common, feminine		
fragen	Verb	1309	ASK (INQUIRE)
verlobt	Noun, common, feminine		
fragen	Verb	1309	ASK (INQUIRE)
erfragen	Verb		
versuchen	Verb	1812	TRY
versuchen	Verb	1812	TRY
Versuchung	Noun, common, feminine		
Same	Noun, common, neuter	714	SEED
Erlaß	Noun, common, neuter		
Freigelassener	Noun, common, masculine		
Verderben	Noun, common, feminine	92	SPOIL (SOMEBODY OR SOMETHING)
weiter	Adverb		
im Alter vorgeschritten	Adjective		
fremd; einer Sache	Adjective	109	FOREIGN
entfremden	Verb		
Fortschritt	Noun, common, feminine		
weiter	Adverb		
fernerhin	Adverb		
fortwährend	Adverb		
Verderb, Vergeudung	Noun, common, feminine		
Kindschaft	Noun, common, feminine		
Kind	Noun, common	2099	CHILD
klug machen	Verb		
Verstand, Sinn	Noun, common, neuter	2950	MEANING
Verstandestäuschung	Noun, common, feminine		
denken	Verb	1415	THINK (REFLECT)
bei  Verstand sein	Verb		
Herr	Noun, common, masculine	3153	LORD
Herrschaft	Noun, common, masculine		
herrschen über	Verb		
unterjochen	Verb		
Herrscher	Noun, common, masculine	3377	EMPEROR
Verderben	Noun, common, feminine	92	SPOIL (SOMEBODY OR SOMETHING)
sündig	Adjective		
Sünde	Noun, common, feminine	2971	SIN
Strafe	Noun, common, neuter		
einen schonen	Verb		
Freiheit	Noun, common, masculine		
frei von	Adjective		
zärtlich liebend	Adjective		
Liebe	Noun, common, feminine	923	LOVE
Freiheit	Noun, common, feminine		
lieben	Verb	923	LOVE
Freundin	Noun, common, feminine		
Freund	Noun, common, masculine	1325	FRIEND
Kuß	Noun, common, feminine		
abbilden	Verb		
ein Abbild werden	Verb		
Bild	Noun, common, feminine	3303	PICTURE (PAINTING)
Friedrich	Noun, proper		
versöhnen mit	Verb		
Frost	Noun, common	2034	FROST
Klugheit, Verstand	Noun, common, feminine	1562	MIND
klug, verständig	Adjective	1310	CLEVER
fruma	Adjective, Comparative		
Erstgeborener	Noun, common, masculine		
Vorrang	Noun, common, feminine		
Anfang	Noun, common, neuter	1557	BEGINNING
frumists	Adjective, Superlative		
zuerst	Adverb, temporal	2915	AT FIRST
Vogel	Noun, common, masculine	937	BIRD
Füllen	Noun, common, masculine	2006	FILL
verborgen	Adjective		
fulhsni	Noun, common, neuter		
P	<none>		
P	<none>		
vollkommen	Adjective		
vollkommen 	Adjective		
überreden	<none>		
volkommen 	Noun, common, masculine		
des Neumonds	Noun, common		
füllen	Verb	2006	FILL
mit etw	Verb		
überfüllen	Verb		
erfüllen, vollenden, ersetzen	Verb		
voll werden von	Verb		
erfüllt werden von	Verb		
erfüllt werden von	Verb		
Fülle, Füllung ; Flicken	Noun, common, feminine		
voll von	Adjective		
faul	Adjective	1564	LAZY
Feuer	<none>	221	FIRE
feurig	Adjective		
Fwgailus	Noun, proper		
phönikisch	Adjective		
Einschränkung	Noun, common, feminine		
Miterbe	Noun, common, masculine		
Gabaa	Noun, proper		
Gabair	Noun, proper		
Erscheinung	Noun, common, feminine		
Kollekte; Steuer	Noun, common, neuter		
Festgelage	Noun, common, masculine		
Mitbürger	Noun, common, masculine		
gern	Adverb		
Lust	Noun, common, masculine	2960	LONGING (WISH)
Geschlechtsregister	Noun, common, neuter		
Geburt	Noun, common, feminine	2805	BIRTH (ACCOUCHEMENT)
Reichtum	Noun, common, feminine	2996	WEALTH
reich an	<none>		
reich machen	Verb		
reich sein	Verb		
reich an	Adjective		
reichlich	Adverb, Comparative		
Band	Noun, common, feminine	2969	RIBBON
Band	Noun, common, feminine	2969	RIBBON
Erbarmen	Noun, common, feminine		
Gabriel	Noun, proper		
Brocken	Noun, common, feminine		
Band	Noun, common, feminine	2969	RIBBON
Teilnehmer, Genosse	Noun, common, masculine		
Hausgenosse	Noun, common, masculine		
Gaddarenus	Noun, proper		
Tat	Noun, common, feminine		
Gebilde	Noun, common, neuter		
Vetter	Noun, common, masculine		
es schickt sich für	Adjective		
Soldat	Noun, common, masculine	1941	SOLDIER
Fang	Noun, common, neuter		
Versammlung, hoher Rat	Noun, common, feminine		
ehrbar; nüchtern, besonnen	Adjective		
anständig	Adverb		
Kleidung	Noun, common, feminine	1895	CLOTHES
Begräbnis	Noun, common, neuter		
Klugheit, Besonnenheit	Noun, common, feminine		
Erhaltung, Bewahrung	Noun, common, feminine		
Kuß	Noun, common, feminine		
Versöhnung	Noun, common, feminine		
verborgen vor	Adjective		
Weg, Straße	Noun, common, neuter	2252	PATH
gehen	Verb	1443	WALK
weggehn von	Verb		
nachgehn, folgen	Verb	1085	FOLLOW
kommen	Verb	1446	COME
hinzugehen, kommen	Verb	1446	COME
hinzukommen zu	Verb		
hineinkommen	Verb		
vorübergehn	Verb		
einem vorausgehn	Verb		
vorangehn	Verb		
zusammenkommen	Verb		
hineingehn	Verb		
mitgehn mit	Verb		
hindurchgehn, vorübergehn	Verb		
etw übertreten	Verb		
ausgehn, hinausgehn	Verb	1107	GO OUT
hinausgehn, ausgehn	Verb	1107	GO OUT
entgegengehn	Verb	1778	APPROACH
Beschluß, Verordnung	Noun, common, feminine		
Frömmigkeit	Noun, common, feminine		
anständig, ehrbar	Adjective		
fromm	Adverb, Comparative		
im Zusammenhang, der Reihe nach	Adverb		
ganz unversehrt	Adjective		
Verheißung	Noun, common, neuter		
Gehör,  Predigt	Noun, common, feminine	2518	HEARING (AURAL SENSE)
Genosse	Noun, common, masculine		
Genosse	Adjective		
[ga-hnipnan]	Verb		
Enthaltsamkeit	Noun, common, feminine		
Reinigung	Noun, common, feminine		
Gesinnung; Sinn; Gewissen	Noun, common, feminine	2950	MEANING
fügsam, getreu	Adjective		
Verweilen, Ruhe	Noun, common, feminine	3458	SILENCE
gaiainna	Noun, common		
Mangel	Noun, common, neuter		
fröhlich machen	Verb		
Gainnesaraiþ	Noun, proper		
Gürtel	Noun, common, feminine	772	BELT
umgürten	Verb		
umgürten	Verb		
Gairgaisainus	Noun, proper		
Verlangen, Wunsch	Noun, common, feminine	2117	DESIRE
begehren, verlangen nach; bedürfen	Verb	2339	NEED (SOMETHING)
Leidenschaft	Noun, common, neuter		
erschrecken	Verb	252	FRIGHTEN
Böcklein	Noun, common, neuter		
Ziege	Noun, common, feminine	1502	GOAT
Gaïus	Noun, proper		
 Paar	Noun, common, neuter		
Genosse	Noun, common, masculine		
 Gleichnis	Noun, common, feminine		
Überredung	Noun, common, feminine		
gakunþs	Noun, common, feminine		
Probe	Noun, common, feminine		
Nachfolger	Noun, common, masculine		
Galateis	Noun, proper		
Galatia	Noun, proper		
gläubig	Adjective		
Glaube	Noun, common, feminine		
wertvoll	Adjective	3002	PRECIOUS
eines Leibes	Noun, common, masculine		
Abbild	Noun, common, neuter		
ähnlich	Adjective	1558	SIMILAR
gleich	Adverb, Comparative	2276	IDENTICAL
Galeilaia	Noun, proper		
Galeilaius	Noun, proper		
Pfahl, Kreuz	Noun, common, masculine	1367	CROSS
Beilager	Noun, common, neuter		
Lüge	Noun, common, neuter	2826	LIE (FALSEHOOD)
falscher Apostel	Noun, common, masculine		
falscher Bruder	Noun, common, masculine		
Götze	Noun, common, neuter		
falscher Prophet	Noun, common, masculine		
falscher Zeuge	Noun, common, masculine		
falscher Christus	Noun, common, masculine		
wertvoll	<none>	3002	PRECIOUS
Gemeinschaft	Noun, common, feminine		
Gemeinschaft	Noun, common, feminine		
Teilnehmer	Noun, common, masculine		
gemein	Adjective		
Versammlung	Noun, common, feminine		
verkrüppelt; verwundet	Adjective		
Auflösung	Noun, common, feminine		
Teilnehmer; Genosse	Noun, common, neuter		
gamarko	<none>		
Ärgernis	Noun, common, feminine		
Erinnerung	Noun, common, feminine		
Schrift; Buchstabenschrift	Noun, common, feminine		
Gedächtnis, Erinnerung	Noun, common, neuter	1018	MEMORY
Gedanke	Noun, common, feminine	2975	THOUGHT
Andenken, Gedächtnis	Noun, common, feminine	1018	MEMORY
Genüge, genügendes Auskommen; Genügsamkeit	Noun, common, masculine		
Rettung, Heil	Noun, common, feminine		
Verwandter	Noun, common, masculine		
genug, viel	Adjective	1198	MANY
verursachen	Verb		
übereinstimmend	Adjective		
Verabredung	Noun, common, feminine		
Zusammenkunft, Versammlung; Vereinigung	Noun, common, feminine		
Anordnung, Satzung, Regel	Noun, common, feminine		
Gerechtigkeit, Gebot	Noun, common, feminine		
Zurechtweisung	Noun, common, feminine		
Gerechtigkeit	Noun, common, feminine		
gerecht	Adjective		
angeordnet	Adjective		
Nachbar	Noun, common, masculine	1332	NEIGHBOUR
Nachbarin	Noun, common, feminine		
 Viehhof	Noun, common, masculine		
Hausherr	Noun, common, masculine		
Haus, Hauswesen, Familie	Noun, common, masculine	1252	HOUSE
anständig	Adverb		
bestimmte Zeit	Noun, common, feminine		
Schamhaftigkeit	Noun, common, feminine		
Ehrbarkeit	Noun, common, neuter		
ehrbar	Adjective		
Beratung	Noun, common, neuter		
Flut	Noun, common, feminine		
Markt; Straße	Noun, common, feminine	633	MARKET
Vorwurf	Noun, common, feminine		
Grundlegung	Noun, common, feminine		
Gefährte	Noun, common, masculine		
Gefährte	Noun, common, masculine		
Bedeckung	Noun, common, feminine		
Erschaffung	Noun, common, feminine		
Unterschied	Noun, common, feminine		
Mitknecht	Noun, common, neuter		
Sandalen, Schuhe	Noun, common, neuter		
beschuht	Adjective		
Gastfreundschaft	Noun, common, feminine		
gastfrei	Adjective		
Fremdling 	Noun, common, masculine		
Riß	Noun, common, masculine		
Zerstörung	Noun, common, feminine		
geziemend	Adverb		
passend; geschickt zu	Adjective		
zur rechten Zeit, passend	Adverb, Comparative		
Erbauung	Noun, common, feminine		
Gebäude	Noun, common, feminine	3396	BUILDING
Gasse	Noun, common, feminine		
Bedacht	Noun, common, neuter		
enthaltsam	Adjective		
Trost	Noun, common, feminine		
Trost	Noun, common, feminine		
Tenne, Ausdrusch	Noun, common, neuter		
Umgegend	Noun, common, masculine		
Gaulgauþa	Noun, proper		
Gaumaurra	Noun, proper		
Gaumaurjam	Noun, proper		
bemerken	Verb	2893	NOTICE (SOMETHING)
klagen; Totenklage anstimmen	Verb		
Klage	Noun, common, masculine		
Betrübnis	Noun, common, feminine		
Betrübnis	Noun, common, feminine		
einen kränken	Verb		
betrübt, traurig	Adjective	699	SAD
friedfertig	Adjective		
Friede	Noun, common, neuter	1338	PEACE
Erwählung	Noun, common, feminine		
gemein di unrein	Adjective		
Bekehrung	Noun, common, feminine		
Verurteilung	Noun, common, feminine		
Bekleidung	Noun, common, feminine		
Gespräch	Noun, common, neuter	2933	CONVERSATION
Geschäft; Erwerb; Gewinn	Noun, common, neuter	2931	BUSINESS
Mitarbeiter	Noun, common, masculine		
eingewurzelt	Adjective		
Gau	Noun, common, neuter		
einmütig	Adjective		
Verbindung, Band 	Noun, common, feminine	2969	RIBBON
voll Mitfreude	Adjective		
Schatzhaus	Noun, common		
Stachel	Noun, common, masculine	3798	STINGER
begehren	Verb		
gewinnen	Verb		
sich entsetzen, erstaunen	Verb		
Gabe, Geschenk	Noun, common, feminine	2982	GIFT
geben	Verb	1447	GIVE
Geber	Noun, common, masculine		
sich wegbegeben	Verb		
hingeben, übergeben	Verb		
vergeben, verleihn, schenken	Verb	196	DONATE
erstatten, bezahlen	Verb	718	PAY
Giebel	Noun, common, masculine		
Steuer	Noun, common, neuter		
vergelten	Verb		
vergelten	Verb		
Steuer	Noun, common, neuter		
Eintragung in die Steuerliste	Noun, common, feminine		
Sichel	Noun, common, feminine	341	SICKLE
beginnen	Verb		
morgen	Adverb, temporal	1329	TOMORROW
finden	Verb	719	FIND
gießen	Verb	3078	IRRIGATE
übergießen di übervoll gießen	Verb		
sorgsam	Adverb		
genau	Adverb	1466	EXACT
genau	Adverb	1466	EXACT
glänzen	Verb		
von guter, edler Abkunft	Adjective		
Tugend	Noun, common, feminine		
Gruß	Noun, common, feminine		
grüßen	Verb		
gut	Adjective	1035	GOOD
Graben	Noun, common, feminine	1418	DIG
graben	Verb	1418	DIG
mit einem Graben umgeben	Verb		
nachgraben, unterwühlen	Verb		
ausgraben	Verb		
erzürnen	Verb		
erbittern	Verb		
Holzsplitter	Noun, common		
Gras, Kraut	Noun, common, neuter	606	GRASS
hungrig	Adjective	1533	BE HUNGRY
hungern	Verb	1533	BE HUNGRY
Hunger	Noun, common, masculine	1864	HUNGER
greifen	Verb	855	SEIZE
ergreifen	Verb	855	SEIZE
ergreifen	Verb	855	SEIZE
weinen, klagen	Verb	1839	CRY
das Weinen	Noun, common, masculine	1839	CRY
kleinmütig	Adjective		
Schritt	Noun, common, feminine		
Grube, Höhle	Noun, common, feminine	1155	CAVE
Grundmauer	Noun, common, masculine		
gottesfürchtig	Adjective		
gottlos	Adjective		
Gottesgestalt	Noun, common, feminine		
Gottesverehrer	Noun, common, masculine		
Gotteshaus	Noun, common, neuter		
Gudilub	Noun, proper		
göttlich	Adjective		
Priester	Noun, common, masculine	852	PRIEST
Priestertum	Noun, common, masculine		
Priester sein, des Priesteramts pflegen	Verb		
Gold	Noun, common, neuter	1369	GOLD
golden	Adjective		
Mann	Noun, common, masculine	1554	MAN
männlichen Geschlechts	Adjective		
Männchen	Noun, common, neuter		
Krebsgeschwür	Noun, common, neuter		
verschüttet werden	Verb		
Gotenvolk	Noun, common, feminine		
Gott	Noun, common, masculine	1944	GOD
haben, besitzen	Verb	684	OWN
sich einer Sache enthalten	Verb		
besitzen	Verb	684	OWN
sich nähern	Verb	1778	APPROACH
ergreifen	Verb	855	SEIZE
ergreifen	Verb	855	SEIZE
aufheben	Verb	371	PICK UP
heben	Verb	501	LIFT
erwidern, antworten	Verb	1275	ANSWER
herabnehmen	Verb		
sich überheben	Verb		
erheben, wegnehmen	Verb		
sich überheben	Verb		
sich heften, hängen an	Verb		
sich heften, hängen an	Verb		
zusammenheften, verbinden	Verb	2862	CONNECT
anhangen	Verb		
behaftet mit	Adjective		
hängen, in der Schwebe lassen	Verb	2884	HANG
hinabhängen, hinablassen	Verb		
sich erhängen	Verb		
hangen	Verb		
Haibraius	Noun, proper		
Art u Weise	Noun, common, masculine		
streiten	Verb	3302	QUARREL (VERB)
Streit	Noun, common, feminine		
einäugig	Adjective		
Haileias	<none>		
Haileisaius	Noun, proper		
einen  heilen	Verb		
herstellen	Verb	2886	PRODUCE
hergestellt werden	Verb		
heil, gesund	Adjective	1364	HEALTHY
Grundbesitz	Noun, common, neuter		
Stadt	Noun, common, feminine	1391	TOWN
Parteien	Noun, common		
Herde	Noun, common, feminine	2939	FLOCK (OF ANIMALS)
Hirt	Noun, common, masculine	2544	SHEPHERD
Hairmaugaineis	Noun, proper		
Hairodia	<none>		
Herz	Noun, common, neuter	1223	HEART
Eingeweide, Herz	Noun, common	1223	HEART
Schwert	Noun, common, masculine		
Fakkeln	Noun, common		
heißen, nennen	Verb	180	CALL BY NAME
anrufen	Verb		
einen, etw bekennen; sich bekennen zu; etw bekennen	Verb		
herzurufen	Verb		
verheißen	Verb		
zusammenrufen	Verb		
zuvor verheißen	Verb		
herausfordern	Verb		
Geheiß	Noun, common, feminine		
Heide, Steppe	Noun, common, feminine		
wild	Adjective	2230	UNTAMED OR WILD
Heidin	Noun, common, feminine		
Mantel	Noun, common, masculine	603	COAT
Hälfte, Seite	Noun, common, feminine	816	HALF
halb	Adjective	3836	HALF (HALF OF)
hüten, weiden	Verb	2885	HERD (SOMETHING)
mehr	Adverb	1992	MORE
kaum je, kaum	Adverb	2926	HARDLY
Hölle	Noun, common, feminine		
leer, umsonst; dürftig, armselig	Adjective	1624	EMPTY
Fels	Noun, common, masculine	668	ROCK
Hals	Noun, common, masculine	1333	NECK
Hals, Nacken	Noun, common, masculine	1333	NECK
lahm	Adjective	320	LAME
verstümmelt	Adjective		
die Bekleidung ablegen, ausziehn	Verb		
die Bekleidung anlegen, anziehn	Verb		
sich einer Sache entkleiden	Verb		
sich bekleiden mit	Verb		
überziehn, sich mit etwas überkleiden	Verb		
Hahn	Noun, common, masculine	1511	ROOSTER
Weisheit	Noun, common, feminine		
weise, klug	Adjective	1310	CLEVER
Hand	Noun, common, feminine	1277	HAND
mit der Hand gemacht	Adjective		
Schar; Manipel; Kohorte	Noun, common, feminine		
verhärten	Verb		
Hartherzigkeit	Noun, common, feminine		
hart, streng	Adjective	1884	HARD
Heer	Noun, common, masculine		
hassen	Verb	1607	HATE
Haß, Zorn	Noun, common, neuter		
zürnen	Verb	2223	BE ANGRY
hassen	Verb	1607	HATE
Haupt	Noun, common, neuter		
Höhe	Noun, common, feminine	2985	HEIGHT
Preis, Ehre	Noun, common, feminine	657	PRICE
Hochmut	Noun, common, feminine		
hochmütig	Adjective		
höchste Höhe	Noun, common, neuter		
Höhe	Noun, common, feminine	2985	HEIGHT
hoch machen; preisen	Verb		
verblenden	Verb		
erhöhn	Verb		
verherrlicht werden	Verb		
hoch	Adjective	1265	HIGH
der Höchste 	Adjective, Superlative		
hauhaba	Adverb		
höher	Adverb, Comparative		
hochmütig, verblendet	Adjective		
Erniedrigung; Demut	Noun, common, feminine		
Demut	Noun, common, feminine		
niedrig machen	Verb		
erniedrigen	Verb		
niedrig, demütig	Adjective	3348	LOW (POSITION OR HEIGHT)
 Tür	Noun, common, feminine	1567	DOOR
Kohle	Noun, common, neuter	2658	COAL
das hornförmig gebogene Johannisbrot	Noun, common, neuter		
Hornist	Noun, common, masculine		
das Horn blasen	Verb		
Gehör di Ohr	Noun, common, feminine		
hören	Verb	1408	HEAR
gehorchen	Verb	1635	OBEY
das Gehör bekommen	Verb		
gehorchen	Verb	1635	OBEY
hören	Verb	1408	HEAR
Heu	Noun, common, neuter	342	HAY
Lob, Loblied	Noun, common, feminine		
loben, preisen wegen	Verb	3455	COMMEND
Fieber	Noun, common, feminine	1534	FEVER
Hausherr	Noun, common, masculine		
helei	Foreign word		
Helei	Noun, proper		
Helias	Noun, proper		
Her	Noun, proper	2925	HITHER (HERE TO)
hier, her	Adverb, locative	136	HERE
Herodes	Noun, proper		
Herodia	Noun, proper		
Herodianus	Noun, proper		
Kammer	Noun, common, feminine		
dieser	Pronoun, demonstrative	1214	THIS
hierher	Adverb, directional		
Helm	Noun, common, masculine	1680	HELMET
einem helfen	Verb		
helfen	Verb	1897	HELP
von himmlischer Abkunft	Adjective		
Himmel	Noun, common, masculine	1732	SKY
dieser	<none>	1214	THIS
hinter, jenseits	Unassigned	1686	BEHIND
hinter, jenseits	Preposition, +AD	1686	BEHIND
hinterlistig	Adjective		
Hinterlist	Noun, common, feminine		
der hinterste	Adjective, Superlative		
gefangen nehmen	Verb		
mitgefangen nehmen	Verb		
erbeuten	Verb		
komm her, hierher	Unassigned		
dieser	<none>	1214	THIS
wehklagen, Klagelieder singen	Verb		
Haufe, Menge	Noun, common, masculine	2987	AMOUNT
Gestalt, Aussehn	Noun, common, neuter		
lachen	Verb	1355	LAUGH
verlachen	Verb		
Brot; Brotbissen	Noun, common, masculine	1368	BREAD
Hügel	Noun, common	614	HILL
Grab	Noun, common, neuter	1773	GRAVE
Gräber	Noun, common, feminine		
Schlinge	Noun, common, feminine	2604	NOOSE
heiter	Adjective	1495	HAPPY
sorgenfreier	Adjective, Comparative		
Heiterkeit	Noun, common, feminine		
beladen	Verb		
aufspringen, sich aufmachen	Verb		
Los; Anteil, Erbschaft	Noun, common, masculine		
sich annehmen	Verb		
link	Adjective, Comparative		
Zelt, Hütte	Noun, common, feminine	1316	TENT
ein Zelt über mir aufschlage	Verb		
das Zeltaufschlagen, Laubhüttenfest	Noun, common, feminine		
stehlen	Verb	713	STEAL
Dieb	Noun, common, masculine	1160	THIEF
Hütten, Zelte	Noun, common		
Gehör	Noun, common, masculine	2518	HEARING (AURAL SENSE)
auflachen machen	Verb		
Lauterkeit	Noun, common, feminine		
Lauterkeit	Noun, common, feminine		
lauter, rein	Adjective	704	CLEAN
Erniedrigung, Demut	Noun, common, feminine		
niedrig machen	Verb		
niederlegen	Verb		
erniedrigen	Verb		
einen unterwerfen unter 	Verb		
niedrig, demütig	Adjective	3348	LOW (POSITION OR HEIGHT)
weich, weichlich	Adjective	1856	SOFT
sich neigen	Verb		
sich niederbeugen	Verb		
sich betrüben	Verb		
zerreißen	Verb	1735	TEAR (SHRED)
zerreißen	Verb	1735	TEAR (SHRED)
spitzer Pfahl	Noun, common, feminine		
Pflug	Noun, common, masculine	2154	PLOUGH (INSTRUMENT)
durch Betrug schädigen, schikanieren	Verb		
übervorteilen	Verb		
Ehebruch; Hurerei	Noun, common, masculine	902	ADULTERY
huren, Ehebruch treiben	Verb		
Ehebruch begehn	Verb		
Hurer, Ehebrecher	Noun, common, masculine		
Reinheit, wohl auch Reinigung	Noun, common, feminine		
Reinigung	Noun, common, feminine		
reinen Herzens	Adjective		
reinigen	Verb	2235	CLEAN (SOMETHING)
etwas Verunreinigendes tilgen	Verb		
reinigen	Verb	2235	CLEAN (SOMETHING)
ausfegen	Verb		
rein, ehrbar	Adjective	704	CLEAN
Turteltaube	Noun, common, feminine		
kreuzigen	Verb		
kreuzigen	Verb		
abschütteln	Verb		
abschütteln	Verb		
rufen	Verb	1084	CALL
aufschreien, ausrufen	Verb		
Ruf, Geschrei	Noun, common, masculine	2944	CALL (APPEAL)
Dach, Haus	Noun, common, neuter	1252	HOUSE
siegreich	Adjective		
Stab	Noun, common, feminine		
krähen	Verb		
das Krähen	Noun, common		
nachforschen	Verb	2010	INVESTIGATE
hungern	Verb	1533	BE HUNGRY
denken, meinen	Verb	1415	THINK (REFLECT)
bezaubern	Verb		
and-hugjan	Verb		
sich vornehmen	Verb		
sich überheben	Verb		
Verstand	Noun, common, masculine	1562	MIND
Landgut, Feld	Noun, common, neuter	212	FIELD
häufen, sammeln	Verb	7	GATHER
Hunger, Hungersnot	Noun, common, masculine	1864	HUNGER
Hülle	Noun, common, neuter		
hüllen, verhüllen	Verb		
enthüllen	Verb		
verhüllen	Verb		
verhüllen	Verb		
aushöhlen	Verb	46	HOLLOW OUT
hold	Adjective		
Höhle	Noun, common, feminine	1155	CAVE
-hun	Particle, enclitic		
Hunderte	Numeral, cardinal		
Centurio	Noun, common, masculine		
Hund	Noun, common, masculine	2009	DOG
Opfer	Noun, common, neuter	1103	SACRIFICE
Opferstätte, Altar	Noun, common, masculine		
opfern	Verb		
Fang, Beute	Noun, common, masculine		
Hüfte	Noun, common, masculine	1745	HIP
Hort, Schatz	Noun, common, neuter		
Schätze sammeln	Verb		
Hwmainaius	Noun, proper		
hwssopon	Noun, common		
wohin	<none>	2928	WHITHER (WHERE TO)
wohin	Adverb, directional	2928	WHITHER (WHERE TO)
jeder	<none>		
wandeln	Verb		
umdrängen	Verb		
Schädel	Noun, common, feminine	1605	SKULL
Weizen	Noun, common, masculine		
wie	Adverb	1239	HOW
wann	Adverb	1238	WHEN
jemals	Adverb		
ersticken, auslöschen	Verb	127	EXTINGUISH
ersticken, erlöschen	Verb	129	CHOKE
wo	Adverb	1237	WHERE
wandeln	Verb		
wer	Pronoun, interrogative	1235	WHO
jeder	Pronoun, indefinite		
wer	Pronoun, interrogative	1235	WHO
jemand	Pronoun, indefinite	2422	SOMEONE
scharf, streng	Adverb, manner	1396	SHARP
Schärfe, Strenge	Noun, common, feminine		
[gaƕatjan]	Verb		
wohin	Adverb, directional	2928	WHITHER (WHERE TO)
wer von beiden	Pronoun, interrogative		
jeder von beiden	Pronoun, indefinite		
schäumen	Verb		
Schaum	Noun, common, feminine	1768	FOAM
woher	Adverb, directional		
jeder	Pronoun, indefinite		
wem, mit wem, womit	Adverb	1236	WHAT
jedenfalls, nur	Unassigned	1580	ONLY
Weile, Zeit, Stunde	Noun, common, feminine	892	TIME
nur eine Zeitlang dauernd, vergänglich	Adjective		
aufhören	Verb	1928	CEASE
beruhigen, erquicken	Verb		
zur Ruhe kommen, aufhören	Verb	1928	CEASE
nicht eine Stunde lang	Unassigned		
weißen	Verb		
weiß	Adjective	1335	WHITE
wie groß	Adjective		
wie beschaffen	Adjective		
Totenkiste, Sarg	Noun, common, feminine		
Das Rühmen, der Ruhm	Noun, common, feminine		
jeder	<none>		
sich einer Sache rühmen	Verb		
Drohung	Noun, common, feminine		
drohen	Verb	1192	THREATEN
einen bedrohn	Verb		
Iaeirus	Noun, proper		
Iairaimias	Noun, proper		
P	Noun, proper		
Iericho	Noun, proper		
Iairusalem	Noun, proper		
Iairusaulwma	Noun, proper		
Iairusaulwmeis	Noun, common		
Iairusaulwmeite	Noun, proper		
Iaissaizis	Noun, proper		
Iakob	Noun, proper		
Iakobus	Noun, proper		
Iaredis	Noun, proper		
Iareim	Noun, proper		
Iasson	Noun, proper		
Iaurdanus	Noun, proper		
doch nicht	Particle		
Berglehne	Noun, common		
gleich	Adjective	2276	IDENTICAL
gleichen Körpers	Adjective		
gleichschön	Adjective		
skauneis	Adjective		
Gleichheit	Noun, common, masculine		
gleich machen	Verb		
eben, flach	Adjective	1633	FLAT
rückwärts gewandt	Adjective		
iddja	<none>		
Buße	Noun, common, feminine		
Reue empfinden	Verb		
bereuen, Buße tun	Verb		
Idumaia	Noun, proper		
Schmach, Schimpf	Noun, common, neuter		
schmähn	<none>		
Iesus	Noun, proper		
am folgenden Tage	Adjective, Comparative		
euch beiden gehörig	Pronoun, possesive		
igqis	Pronoun, personal		
ich	Pronoun, personal	1209	I
der ich	Pronoun, personal, relative	1209	I
in, auf, an, unter	Preposition, +ADG	1485	BELOW OR UNDER
Besonnenheit, Selbstbeherrschung	Noun, common, feminine		
verständig	Adjective		
